Test Number,Was Tested On P1,Was Tested On P2,Was Tested On P3,Was Tested On P4,Was Tested On Multiple Participants,Test Type,Style,Tempo,GMD Drummer,GMD Performance Session,GMD Segment Type,GMD Segment Meter,Selected 2Bars From Start,Dualized Midifolder Path,Test Folder
042,True,False,False,False,False,Three Random Repetitions,latin-brazilian-bossa,127.0,drummer5,session1,beat,4-4,16,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[042 P1] drummer5-session1-1_latin-brazilian-bossa_127_beat_4-4_best_2bar_segment_16
043,True,False,False,False,False,Three Random Repetitions,latin-dominican-merengue,130.0,drummer5,session1,beat,4-4,51,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[043 P1] drummer5-session1-9_latin-dominican-merengue_130_beat_4-4_best_2bar_segment_51
044,True,False,False,False,False,Three Random Repetitions,neworleans-secondline,124.0,drummer5,session2,beat,4-4,9,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[044 P1] drummer5-session2-7_neworleans-secondline_124_beat_4-4_best_2bar_segment_9
045,True,False,False,False,False,Three Random Repetitions,rock,180.0,drummer6,session3,beat,4-4,33,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[045 P1] drummer6-session3-5_rock_180_beat_4-4_best_2bar_segment_33
046,True,False,False,False,False,Three Random Repetitions,soul-groove10,102.0,drummer7,eval,beat,4-4,3,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[046 P1] drummer7-eval-session-10_soul-groove10_102_beat_4-4_best_2bar_segment_3
047,True,False,False,False,False,Three Random Repetitions,soul-groove3,86.0,drummer7,eval,beat,4-4,7,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[047 P1] drummer7-eval-session-3_soul-groove3_86_beat_4-4_best_2bar_segment_7
048,True,False,False,False,False,Three Random Repetitions,hiphop,100.0,drummer7,session1,beat,4-4,1,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[048 P1] drummer7-session1-18_hiphop_100_beat_4-4_best_2bar_segment_1
049,True,False,False,False,False,Three Random Repetitions,pop,132.0,drummer7,session2,beat,4-4,1,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[049 P1] drummer7-session2-104_pop_132_beat_4-4_best_2bar_segment_1
050,True,False,False,False,False,Three Random Repetitions,jazz-fusion,96.0,drummer7,session2,beat,4-4,2,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[050 P1] drummer7-session2-114_jazz-fusion_96_beat_4-4_best_2bar_segment_2
051,True,False,False,False,False,Three Random Repetitions,jazz-fusion,96.0,drummer7,session2,beat,4-4,6,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[051 P1] drummer7-session2-115_jazz-fusion_96_beat_4-4_best_2bar_segment_6
052,True,False,False,False,False,Three Random Repetitions,funk,100.0,drummer7,session2,beat,4-4,0,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[052 P1] drummer7-session2-77_funk_100_beat_4-4_best_2bar_segment_0
053,True,False,False,False,False,Three Random Repetitions,hiphop,75.0,drummer7,session2,beat,4-4,0,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[053 P1] drummer7-session2-93_hiphop_75_beat_4-4_best_2bar_segment_0
054,True,False,False,False,False,Three Random Repetitions,hiphop,70.0,drummer7,session3,beat,4-4,1,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[054 P1] drummer7-session3-106_hiphop_70_beat_4-4_best_2bar_segment_1
055,True,False,False,False,False,Three Random Repetitions,soul,105.0,drummer7,session3,beat,4-4,4,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[055 P1] drummer7-session3-133_soul_105_beat_4-4_best_2bar_segment_4
056,True,False,False,False,False,Three Random Repetitions,rock,60.0,drummer7,session3,beat,4-4,4,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[056 P1] drummer7-session3-1_rock_60_beat_4-4_best_2bar_segment_4
057,True,False,False,False,False,Three Random Repetitions,pop-soft,83.0,drummer7,session3,beat,4-4,1,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[057 P1] drummer7-session3-23_pop-soft_83_beat_4-4_best_2bar_segment_1
058,True,False,False,False,False,Three Random Repetitions,hiphop,67.0,drummer7,session3,beat,4-4,12,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[058 P1] drummer7-session3-24_hiphop_67_beat_4-4_best_2bar_segment_12
059,True,False,False,False,False,Three Random Repetitions,funk,112.0,drummer7,session3,beat,4-4,3,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[059 P1] drummer7-session3-49_funk_112_beat_4-4_best_2bar_segment_3
060,True,False,False,False,False,Three Random Repetitions,neworleans-funk,82.0,drummer8,session1,beat,4-4,1,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[060 P1] drummer8-session1-11_neworleans-funk_82_beat_4-4_best_2bar_segment_1
061,True,False,False,False,False,Three Random Repetitions,latin,118.0,drummer8,session1,beat,4-4,21,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[061 P1] drummer8-session1-12_latin_118_beat_4-4_best_2bar_segment_21
062,True,False,False,False,False,Three Random Repetitions,hiphop,94.0,drummer8,session1,beat,4-4,11,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[062 P1] drummer8-session1-15_hiphop_94_beat_4-4_best_2bar_segment_11
063,True,False,False,False,False,Three Random Repetitions,funk,108.0,drummer8,session1,beat,4-4,27,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[063 P1] drummer8-session1-19_funk_108_beat_4-4_best_2bar_segment_27
064,True,False,False,False,False,Three Random Repetitions,funk,80.0,drummer8,session1,beat,4-4,11,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[064 P1] drummer8-session1-7_funk_80_beat_4-4_best_2bar_segment_11
065,True,False,False,False,False,Three Random Repetitions,hiphop,86.0,drummer8,session2,beat,4-4,4,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[065 P1] drummer8-session2-10_hiphop_86_beat_4-4_best_2bar_segment_4
066,True,False,False,False,False,Three Random Repetitions,funk,95.0,drummer8,session2,beat,4-4,4,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[066 P1] drummer8-session2-16_funk_95_beat_4-4_best_2bar_segment_4
067,True,False,False,False,False,Three Random Repetitions,afrobeat,85.0,drummer8,session2,beat,4-4,3,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[067 P1] drummer8-session2-18_afrobeat_85_beat_4-4_best_2bar_segment_3
068,True,False,False,False,False,Three Random Repetitions,dance-disco,137.0,drummer8,session2,beat,4-4,38,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[068 P1] drummer8-session2-27_dance-disco_137_beat_4-4_best_2bar_segment_38
069,True,False,False,False,False,Three Random Repetitions,latin-brazilian-songo,120.0,drummer8,session2,beat,4-4,32,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[069 P1] drummer8-session2-34_latin-brazilian-songo_120_beat_4-4_best_2bar_segment_32
070,True,False,False,False,False,Three Random Repetitions,rock-indie,104.0,drummer8,session2,beat,4-4,19,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[070 P1] drummer8-session2-39_rock-indie_104_beat_4-4_best_2bar_segment_19
071,True,False,False,False,False,Three Random Repetitions,rock,120.0,drummer9,session1,beat,4-4,0,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[071 P1] drummer9-session1-21_rock_120_beat_4-4_best_2bar_segment_0
072,True,False,False,False,False,Three Random Repetitions,rock,90.0,drummer9,session1,beat,4-4,1,midi_files/Repetitions/tested_with_Participant_1_Only/dualized,midi_files/Repetitions/tested_with_Participant_1_Only/[072 P1] drummer9-session1-29_rock_90_beat_4-4_best_2bar_segment_1
073,True,True,False,False,True,Simple Complex,soul-groove3,86.0,drummer1,eval,beat,4-4,6,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[073 P1P2] drummer1-eval-session-3_soul-groove3_86_beat_4-4_best_2bar_segment_6
074,True,True,False,False,True,Simple Complex,neworleans-secondline,94.0,drummer1,session1,beat,4-4,10,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[074 P1P2] drummer1-session1-100_neworleans-secondline_94_beat_4-4_best_2bar_segment_10
075,True,True,False,False,True,Simple Complex,afrocuban,105.0,drummer1,session1,beat,4-4,15,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[075 P1P2] drummer1-session1-183_afrocuban_105_beat_4-4_best_2bar_segment_15
076,True,True,False,False,True,Simple Complex,funk,80.0,drummer1,session1,beat,4-4,6,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[076 P1P2] drummer1-session1-3_funk_80_beat_4-4_best_2bar_segment_6
077,True,True,False,False,True,Simple Complex,jazz,102.0,drummer1,session1,beat,4-4,11,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[077 P1P2] drummer1-session1-47_jazz_102_beat_4-4_best_2bar_segment_11
078,True,True,False,False,True,Simple Complex,rock-shuffle,125.0,drummer1,session1,beat,4-4,14,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[078 P1P2] drummer1-session1-51_rock-shuffle_125_beat_4-4_best_2bar_segment_14
079,True,True,False,False,True,Simple Complex,jazz-mediumfast,180.0,drummer1,session1,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[079 P1P2] drummer1-session1-76_jazz-mediumfast_180_beat_4-4_best_2bar_segment_0
080,True,True,False,False,True,Simple Complex,jazz-mediumfast,180.0,drummer1,session1,beat,4-4,57,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[080 P1P2] drummer1-session1-77_jazz-mediumfast_180_beat_4-4_best_2bar_segment_57
081,True,True,False,False,True,Simple Complex,dance-breakbeat,170.0,drummer1,session1,beat,4-4,4,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[081 P1P2] drummer1-session1-81_dance-breakbeat_170_beat_4-4_best_2bar_segment_4
082,True,True,False,False,True,Simple Complex,latin-chacarera,118.0,drummer1,session2,beat,4-4,3,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[082 P1P2] drummer1-session2-3_latin-chacarera_118_beat_4-4_best_2bar_segment_3
083,True,True,False,False,True,Simple Complex,jazz-swing,185.0,drummer1,session3,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[083 P1P2] drummer1-session3-2_jazz-swing_185_beat_4-4_best_2bar_segment_0
084,True,True,False,False,True,Simple Complex,jazz-linear,128.0,drummer1,session3,beat,4-4,61,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[084 P1P2] drummer1-session3-5_jazz-linear_128_beat_4-4_best_2bar_segment_61
085,True,True,False,False,True,Simple Complex,rock,135.0,drummer1,session3,beat,4-4,5,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[085 P1P2] drummer1-session3-9_rock_135_beat_4-4_best_2bar_segment_5
086,True,True,False,False,True,Simple Complex,rock,130.0,drummer2,session2,beat,4-4,2,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[086 P1P2] drummer2-session2-3_rock_130_beat_4-4_best_2bar_segment_2
087,True,True,False,False,True,Simple Complex,rock,130.0,drummer2,session2,beat,4-4,15,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[087 P1P2] drummer2-session2-8_rock_130_beat_4-4_best_2bar_segment_15
088,True,True,False,False,True,Simple Complex,rock,105.0,drummer3,session1,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[088 P1P2] drummer3-session1-10_rock_105_beat_4-4_best_2bar_segment_0
089,True,True,False,False,True,Simple Complex,rock,105.0,drummer3,session1,beat,4-4,4,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[089 P1P2] drummer3-session1-5_rock_105_beat_4-4_best_2bar_segment_4
090,True,True,False,False,True,Simple Complex,jazz,105.0,drummer3,session1,beat,4-4,2,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[090 P1P2] drummer3-session1-8_jazz_105_beat_4-4_best_2bar_segment_2
091,True,True,False,False,True,Simple Complex,rock,92.0,drummer3,session2,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[091 P1P2] drummer3-session2-21_rock_92_beat_4-4_best_2bar_segment_0
092,True,True,False,False,True,Simple Complex,rock,110.0,drummer3,session2,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[092 P1P2] drummer3-session2-43_rock_110_beat_4-4_best_2bar_segment_0
093,True,True,False,False,True,Simple Complex,rock,100.0,drummer3,session2,beat,4-4,4,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[093 P1P2] drummer3-session2-6_rock_100_beat_4-4_best_2bar_segment_4
094,True,True,False,False,True,Simple Complex,soul-groove4,80.0,drummer5,eval,beat,4-4,2,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[094 P1P2] drummer5-eval-session-4_soul-groove4_80_beat_4-4_best_2bar_segment_2
095,True,True,False,False,True,Simple Complex,latin-brazilian-samba,89.0,drummer5,session1,beat,4-4,1,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[095 P1P2] drummer5-session1-5_latin-brazilian-samba_89_beat_4-4_best_2bar_segment_1
